dataset,seed,method,tau,alpha,a,b,temperature_min,temperature_median,temperature_mean,temperature_max,a_at_bound,b_at_bound,optimizer_success,initial_nll,final_nll
Pingan,42,Global_TS,0.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,4.200384947317972,0.7489319902756242
Pingan,123,Global_TS,0.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,4.202230391562376,0.7453027670270416
Pingan,3407,Global_TS,0.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,2.569313179365171,0.5161015411909436
Pingan,42,LA_Global_TS,0.5,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,4.209437513772816,0.7522334121008569
Pingan,123,LA_Global_TS,1.75,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,4.377041926056227,0.784783845030523
Pingan,3407,LA_Global_TS,1.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,2.6135057635136985,0.5294672885930467
Pingan,42,LTLC_Full,0.5,0.0,2.0,2.0,7.38905609893065,7.38905609893065,11.591265575061913,54.598150033144236,True,True,True,4.209437513772816,0.7227207282453783
Pingan,123,LTLC_Full,2.0,0.75,2.0,2.0,7.38905609893065,9.41620353783829,14.051732404804111,54.598150033144236,True,True,True,4.915112802288567,0.6793751375470546
Pingan,3407,LTLC_Full,1.0,0.0,2.0,0.8160231564622595,7.38905609893065,7.38905609893065,8.555906815399881,16.710264251605746,True,False,True,2.6135057635136985,0.5150535442942777
Pingan,42,LTLC_Shift_Global_TS,0.5,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,4.209437513772816,0.7522334121008569
Pingan,123,LTLC_Shift_Global_TS,2.0,0.75,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,4.915112802288567,0.8585963139598373
Pingan,3407,LTLC_Shift_Global_TS,1.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,2.6135057635136985,0.5294672885930467
Qingyun,42,Global_TS,0.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,5.748202758366621,1.0440450733516473
Qingyun,123,Global_TS,0.0,0.0,1.7541122935762068,0.0,5.778316016314469,5.778316016314469,5.778316016314469,5.778316016314469,False,False,True,2.681491778716439,0.8515046414869472
Qingyun,3407,Global_TS,0.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,5.22120464729285,1.0472831709519244
Qingyun,42,LA_Global_TS,2.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,6.2225330538326435,1.143806174118947
Qingyun,123,LA_Global_TS,0.5,0.0,1.7698512389576153,0.0,5.869980072074198,5.869980072074198,5.869980072074198,5.869980072074198,False,False,True,2.76604905445839,0.8905461881864419
Qingyun,3407,LA_Global_TS,0.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,5.22120464729285,1.0472831709519244
Qingyun,42,LTLC_Full,2.0,0.0,2.0,2.0,7.38905609893065,8.02119614519633,10.479798144585471,54.598150033144236,True,True,True,6.2225330538326435,1.034094603421664
Qingyun,123,LTLC_Full,0.25,0.5,1.6203882517215167,2.0,5.055052568477445,5.487516623659706,6.5653731907518225,37.35206701152332,False,True,True,2.7385884494796917,0.8605449616811659
Qingyun,3407,LTLC_Full,0.0,0.0,2.0,2.0,7.38905609893065,8.02119614519633,9.554759808457723,54.598150033144236,True,True,True,5.22120464729285,1.000838335585724
Qingyun,42,LTLC_Shift_Global_TS,2.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,6.2225330538326435,1.143806174118947
Qingyun,123,LTLC_Shift_Global_TS,0.25,0.5,1.7632729405186567,0.0,5.8314923220753965,5.8314923220753965,5.8314923220753965,5.8314923220753965,False,False,True,2.7385884494796917,0.8789268353513212
Qingyun,3407,LTLC_Shift_Global_TS,0.0,0.0,2.0,0.0,7.38905609893065,7.38905609893065,7.38905609893065,7.38905609893065,True,False,True,5.22120464729285,1.0472831709519244
