dataset,seed,selected_tau,selected_alpha,best_AA,best_AA_with_alpha0,adaptive_best_minus_alpha0_best,candidates_within_0p1pp,fraction_within_0p1pp,candidates_within_0p25pp,fraction_within_0p25pp
Pingan,42,0.5,0.0,0.7715545263953009,0.7715545263953009,0.0,5,0.07936507936507936,11,0.1746031746031746
Pingan,123,2.0,0.75,0.734570960947661,0.7312960648331465,0.0032748961145144806,5,0.07936507936507936,12,0.19047619047619047
Pingan,3407,1.0,0.0,0.7617323955403175,0.7617323955403175,0.0,11,0.1746031746031746,21,0.3333333333333333
Qingyun,42,2.0,0.0,0.7710385189910326,0.7710385189910326,0.0,1,0.015873015873015872,6,0.09523809523809523
Qingyun,123,0.25,0.5,0.75145813742015,0.7513237657458404,0.00013437167430963015,15,0.23809523809523808,19,0.30158730158730157
Qingyun,3407,0.0,0.0,0.7466855642251226,0.7466855642251226,0.0,12,0.19047619047619047,18,0.2857142857142857
