dataset,beta,best_AA_over_tau
Pingan,0.0,0.7715545263953009
Pingan,0.25,0.7708185906534404
Pingan,0.5,0.769235955988765
Pingan,0.75,0.7675458580373309
Pingan,1.0,0.7661471753117708
Pingan,1.5,0.7588329397367332
Pingan,2.0,0.7517699389318888
Qingyun,0.0,0.7710385189910326
Qingyun,0.25,0.769386666763079
Qingyun,0.5,0.7684256527075606
Qingyun,0.75,0.7679456582600593
Qingyun,1.0,0.7672760003721445
Qingyun,1.5,0.7615808948997329
Qingyun,2.0,0.7504371354017674
