dataset,seed,LA_minus_CE_AA,LTLC_minus_LA_AA,LA_minus_CE_TailAcc,LTLC_minus_LA_TailAcc
Pingan,42,0.014710283287985959,0.0,0.05531758537228626,0.0
Pingan,123,0.017010421682198462,0.0032748961145144806,0.08436979383034382,0.049249152524796
Pingan,3407,0.014876891139380843,0.0,0.05498386182722781,0.0
Qingyun,42,0.0072062381296804645,0.0,0.06757761819368802,0.0
Qingyun,123,0.0003549675214592485,0.00013437167430963015,0.013317191283293006,-0.003631961259080052
Qingyun,3407,0.0,0.0,0.0,0.0
