dataset,seed,method,tau,alpha,beta,AA,Macro_F1,OA,Kappa,NLL
Pingan,42,Original_LTLC,1.5,1.5,,0.7176246159025277,0.5613573639070342,0.8551321360782596,0.7853308974992841,5.013266828873536
Pingan,42,Original_LTLC,1.5,2.0,,0.6995609243272676,0.5468598238663449,0.8487662432471894,0.7761618087201809,5.376270786063323
Pingan,42,Original_LTLC,1.75,0.0,,0.7614856156393481,0.6372689756079016,0.8792816469557599,0.8202959775985768,4.33176932407036
Pingan,42,Original_LTLC,1.75,0.25,,0.7552169332943885,0.6164366117629608,0.873704190392758,0.8122336962093578,4.432785442448776
Pingan,42,Original_LTLC,1.75,0.5,,0.749795985848841,0.601787750886104,0.8695283983063221,0.8062129541366077,4.558126733898948
Pingan,42,Original_LTLC,1.75,0.75,,0.7426039130688047,0.5865584014147724,0.8643013578624616,0.7986486666121232,4.706560678249637
Pingan,42,Original_LTLC,1.75,1.0,,0.7272749116079332,0.5693261338540869,0.8581690757774858,0.789747227593729,4.877127208271717
Pingan,42,Original_LTLC,1.75,1.5,,0.7024091522235631,0.5484648115918956,0.8498758942911374,0.7777716424098243,5.278253357342167
Pingan,42,Original_LTLC,1.75,2.0,,0.6863795838563446,0.5355268996277904,0.8419331289239305,0.7663301043485655,5.750056349326703
Pingan,42,Original_LTLC,2.0,0.0,,0.7588539329691393,0.6268725947499644,0.8761863045700102,0.8158232682708176,4.372557141443347
Pingan,42,Original_LTLC,2.0,0.25,,0.7526478771727032,0.6075222168646418,0.8710176668126733,0.808382588303455,4.501787897310741
Pingan,42,Original_LTLC,2.0,0.5,,0.7456154897654586,0.5907506334339503,0.8657322236822894,0.8007343523663559,4.661557869658064
Pingan,42,Original_LTLC,2.0,0.75,,0.7303282896489192,0.5712377899925161,0.8587823039859833,0.7906764640790083,4.850550277100936
Pingan,42,Original_LTLC,2.0,1.0,,0.7156049679802323,0.5584999328514766,0.853818075631479,0.7834810659580214,5.066643043971234
Pingan,42,Original_LTLC,2.0,1.5,,0.6930443197207036,0.5396457108920676,0.8449116659366331,0.7706363428467093,5.57080949187273
Pingan,42,Original_LTLC,2.0,2.0,,0.6751313044602517,0.5273782499852745,0.8360344575850489,0.7578429263872547,6.163361766610597
Pingan,42,R1,0.0,,0.0,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,R1,0.0,,0.25,0.765096811656077,0.7128836802751627,0.8957804058986714,0.8436385763033275,4.207243486570981
