dataset,LA_minus_CE_AA_mean,LA_minus_CE_AA_sd,LTLC_minus_LA_AA_mean,LTLC_minus_LA_AA_sd,LA_minus_CE_TailAcc_mean,LTLC_minus_LA_TailAcc_mean
Pingan,0.015532532036521754,0.0012825981044876926,0.0010916320381714935,0.001890762153282995,0.0648904136766193,0.016416384174932002
Qingyun,0.002520401883713238,0.004061932603864557,4.479055810321005e-05,7.757952233412568e-05,0.026964936492327007,-0.001210653753026684
