dataset,method,nll_mean,nll_sd,ece_mean,ece_sd,tail_ece_mean,tail_ece_sd,brier_mean,brier_sd
Pingan,Global_TS,0.6701120994978699,0.1333893993833668,0.0455946929237336,0.0096033339119468,0.2334238814121951,0.1233618470374604,0.1857030318052695,0.0103446863493286
Pingan,LA_Global_TS,0.6888281819081422,0.1389669148021071,0.0391054580950854,0.0125770655475291,0.2361402645851111,0.1157110723138104,0.1895131027211466,0.0139862077799298
Pingan,LTLC_Full,0.6390498033622368,0.1095491408244856,0.0682371381462615,0.0289628060842945,0.593614933976922,0.1016032959557626,0.207234851571055,0.0113413933377805
Pingan,Standard_LA,3.733328401114248,0.9734088886568708,0.1037773193189965,0.0166956676117566,0.1504950842598279,0.0309856718672394,0.2226296207810441,0.0300802841145963
Qingyun,Global_TS,0.9809442952635062,0.1121097199013709,0.0489580474619409,0.0178248562034259,0.1522501675608444,0.0814991848872082,0.3864505504589655,0.0053498964984441
Qingyun,LA_Global_TS,1.0272118444191043,0.1278174429810871,0.0539520775421384,0.0137957313455908,0.1560496728146989,0.0577117529500084,0.4008525225504413,0.0203309674774192
Qingyun,LTLC_Full,0.965159300229518,0.0921119683321655,0.0634964022383063,0.0188337798756128,0.5196115039619587,0.0482170491424868,0.389526558522298,0.0125954539893279
Qingyun,Standard_LA,4.736595585194628,1.7784698104784762,0.2367980939660473,0.011694636033488,0.206925365706033,0.0783232702386486,0.4950540905879931,0.0245382385733756
