relative_path,method_dir,dataset,dataset_slug,seed,status,manifest_dataset_present,manifest_dataset_raw,manifest_seed_present,manifest_seed_raw,method_manifest,tau,gamma,C,best_AA_epoch,best_AA,best_AA_Macro_F1,best_AA_OA,best_OA_epoch,best_OA,completion_sha256
runs/experiment_b_spatial_validation_v1/focal/qingyun/gamma2/seed42/focal__qingyun__gamma2__seed42__completion_manifest.json,focal,Qingyun,qingyun,42,COMPLETE,False,,False,,,,,,31,0.7461050493348562,0.6986875655027682,0.7439907630943634,64,0.7532276687309751,eaa50101b6c5508062cf7a924d977a2bd1eb1b70030812c7fed15c19af13b5bd
runs/experiment_b_spatial_validation_v1/focal/qingyun/gamma1/seed123/focal__qingyun__gamma1__seed123__completion_manifest.json,focal,Qingyun,qingyun,123,COMPLETE,False,,False,,,,,,89,0.7604711275899781,0.7150726898697815,0.7589307581960043,52,0.7723312690248767,67a9082d354b12c636363e1b9f6c7dcb5b8ae1207fb5f9c9da14f40c956423d4
runs/experiment_b_spatial_validation_v1/focal/qingyun/gamma1/seed3407/focal__qingyun__gamma1__seed3407__completion_manifest.json,focal,Qingyun,qingyun,3407,COMPLETE,False,,False,,,,,,33,0.7353403886456035,0.6906942666909863,0.7513383016689409,88,0.7527028445470767,8415ec703c6eb06f67e7fbf24ed7247f629ed4d72efef3bdad87c6e2bc34e63a
runs/experiment_b_spatial_validation_v1/la_loss/pingan/tau0p5/seed42/la_loss__pingan__tau0p5__seed42__completion_manifest.json,la_loss,Pingan,pingan,42,COMPLETE,True,Pingan,True,42,LA_Loss,0.5,,,82,0.7022164133431492,0.6924896424354003,0.887750036501679,60,0.8896189224704336,7653c81eb50292af26be51b45da87499ba841e26eb415bf588b94f8c000d0829
runs/experiment_b_spatial_validation_v1/la_loss/pingan/tau1p0/seed42/la_loss__pingan__tau1p0__seed42__completion_manifest.json,la_loss,Pingan,pingan,42,COMPLETE,True,Pingan,True,42,LA_Loss,1.0,,,10,0.762762195884368,0.7064391980396361,0.8914878084391882,78,0.8964228354504307,eef6f96ee4981e8db17ec55725845c03fb8f4c2ddb6760ba4f9ae744d32d8ec7
runs/experiment_b_spatial_validation_v1/la_loss/pingan/tau1p0/seed123/la_loss__pingan__tau1p0__seed123__completion_manifest.json,la_loss,Pingan,pingan,123,COMPLETE,True,Pingan,True,123,LA_Loss,1.0,,,52,0.7475964271316472,0.6731417812781144,0.8753394656154183,70,0.8975324864943788,fa852515672bc8f22b4331cf2084f116e33a678f4b88f003875f11b291e63323
runs/experiment_b_spatial_validation_v1/la_loss/pingan/tau1p0/seed3407/la_loss__pingan__tau1p0__seed3407__completion_manifest.json,la_loss,Pingan,pingan,3407,COMPLETE,True,Pingan,True,3407,LA_Loss,1.0,,,18,0.7747616918201456,0.7150787449077352,0.8917798218718062,12,0.9008030369396992,664a2aa8fdf67cab5ecc7929b138a194d7cf14ee4b1aeaed3b0947c826f17f5d
runs/experiment_b_spatial_validation_v1/la_loss/qingyun/tau0p5/seed42/la_loss__qingyun__tau0p5__seed42__completion_manifest.json,la_loss,Qingyun,qingyun,42,COMPLETE,True,Qingyun,True,42,LA_Loss,0.5,,,29,0.7641694770676607,0.701987048753128,0.7439907630943634,40,0.7597354886113152,1d456420e125909bca2515f2e4d8ac98f715b2967c85a41d0680fbf072d342c2
runs/experiment_b_spatial_validation_v1/la_loss/qingyun/tau1p0/seed42/la_loss__qingyun__tau1p0__seed42__completion_manifest.json,la_loss,Qingyun,qingyun,42,COMPLETE,True,Qingyun,True,42,LA_Loss,1.0,,,69,0.7271598453200842,0.687234842903206,0.7250970924740212,55,0.7368181659144186,eb6dc054119b2cf18d597cedd82c546aaf17ce4721ab0c05cf91ff5df3f79f70
runs/experiment_b_spatial_validation_v1/la_loss/qingyun/tau0p5/seed123/la_loss__qingyun__tau0p5__seed123__completion_manifest.json,la_loss,Qingyun,qingyun,123,COMPLETE,True,Qingyun,True,123,LA_Loss,0.5,,,50,0.763574405393975,0.7162367656174543,0.7602953010741401,41,0.7691823239214863,1e9ac68021a9d01d59818c7061120bc9d511e1957f02b7a96ef3eb442933524d
runs/experiment_b_spatial_validation_v1/la_loss/qingyun/tau0p5/seed3407/la_loss__qingyun__tau0p5__seed3407__completion_manifest.json,la_loss,Qingyun,qingyun,3407,COMPLETE,True,Qingyun,True,3407,LA_Loss,0.5,,,52,0.7507056517176345,0.7020890345076335,0.7482593331234036,23,0.7550120709562297,d99a05fa4c349267c542fae7a8007024cdcbb2e773ad9d817909ac43d538bcd7
runs/experiment_b_spatial_validation_v1/ldam_drw/pingan/c0p2500/seed42/ldam_drw__pingan__c0p2500__seed42__completion_manifest.json,ldam_drw,Pingan,pingan,42,COMPLETE,True,Pingan,True,42,LDAM_DRW,,,,68,0.7095608888536119,0.6647263773086609,0.8841290699372171,11,0.8864359760548985,7d5759cd52a4f50d9618cb54254db1eacb59f52498602f7e9238f3023fc038f8
runs/experiment_b_spatial_validation_v1/ldam_drw/pingan/c0p5000/seed42/ldam_drw__pingan__c0p5000__seed42__completion_manifest.json,ldam_drw,Pingan,pingan,42,COMPLETE,True,Pingan,True,42,LDAM_DRW,,,,87,0.7248279619110363,0.7170624928453948,0.8807709154621113,90,0.887341217696014,eeabaff425f8a13792a41f1c5bf58ab90224294f3d11859d2218a5366bc91900
runs/experiment_b_spatial_validation_v1/ldam_drw/pingan/c0p5000/seed123/ldam_drw__pingan__c0p5000__seed123__completion_manifest.json,ldam_drw,Pingan,pingan,123,COMPLETE,True,Pingan,True,123,LDAM_DRW,,,,16,0.6750669776530026,0.6739564569813697,0.8808585194918966,15,0.8873704190392758,d9a8d7ec5c7b16f34947337cef3b0e30ff6fbab574b32482bc704107365d92be
runs/experiment_b_spatial_validation_v1/ldam_drw/pingan/c0p5000/seed3407/ldam_drw__pingan__c0p5000__seed3407__completion_manifest.json,ldam_drw,Pingan,pingan,3407,COMPLETE,True,Pingan,True,3407,LDAM_DRW,,,,63,0.7131841367105702,0.7223091559333548,0.8931230836618484,52,0.903606365892831,358856923d4fc92dfe1b22ff80c02ed6ef9cd1a45c03fd55c5e9b52d525e3d8a
runs/experiment_b_spatial_validation_v1/ldam_drw/qingyun/c0p2500/seed42/ldam_drw__qingyun__c0p2500__seed42__completion_manifest.json,ldam_drw,Qingyun,qingyun,42,COMPLETE,True,Qingyun,True,42,LDAM_DRW,,,,8,0.7552597627609258,0.699377793390575,0.7333543263006893,50,0.7452503411357195,067b5e9884c9daad34aeddbfc6e44fba4427c00fc10052d364cc1477724ba9cc
runs/experiment_b_spatial_validation_v1/ldam_drw/qingyun/c0p5000/seed42/ldam_drw__qingyun__c0p5000__seed42__completion_manifest.json,ldam_drw,Qingyun,qingyun,42,COMPLETE,True,Qingyun,True,42,LDAM_DRW,,,,20,0.7477586766859092,0.6968072138125407,0.7356985409887687,24,0.7579160981071341,73b622b22263b17bedca5d78b17130ff5fb749f363b24c22d7df5ecc46577c50
runs/experiment_b_spatial_validation_v1/ldam_drw/qingyun/c0p2500/seed123/ldam_drw__qingyun__c0p2500__seed123__completion_manifest.json,ldam_drw,Qingyun,qingyun,123,COMPLETE,True,Qingyun,True,123,LDAM_DRW,,,,19,0.7451702241276222,0.7039940631012565,0.7478044854973583,60,0.7576711801546482,d836eca8c69a5ba9e40ba093904de01157ac4caa7bdbbf2470c321bd35737924
runs/experiment_b_spatial_validation_v1/ldam_drw/qingyun/c0p2500/seed3407/ldam_drw__qingyun__c0p2500__seed3407__completion_manifest.json,ldam_drw,Qingyun,qingyun,3407,COMPLETE,True,Qingyun,True,3407,LDAM_DRW,,,,61,0.7453948593603344,0.704547468055717,0.7462300129456632,18,0.7489940869808615,b1e9996d7851cfc7afb07be5d39c7ad96316db6a7c9cec843068d07a9284d8f9
